location,information,sales_price
Yalova Merkez - Fevzi Çakmak Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,19.000 TL
Yalova Merkez - Fevzi Çakmak Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,19.000 TL
Yalova Merkez - Adnan Menderes Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,35.500 TL
Yalova Merkez - Dere Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,28.500 TL
Yalova Merkez - Bayraktepe Mahallesi,Daire | 2+1 | Bodrum Kat | 95 m²,20.500 TL
Yalova Merkez - Süleyman Bey Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,20.000 TL
Yalova Merkez - Kadıköy Bld. (Merkez Mahallesi),Daire | 1+1 | Bahçe katı | 60 m²,17.000 TL
Çiftlikköy - Mehmet Akif Ersoy Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 92 m²,19.500 TL
Çiftlikköy - Çiftlik Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,25.500 TL
Altınova - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 103 m²,20.000 TL
Çınarcık - Hasanbaba Mahallesi,Daire | 2+1 | Bahçe dublex | 70 m²,17.000 TL
Çınarcık - Hasanbaba Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,20.000 TL
Çınarcık - Esenköy Bld. (Aliye Hanım Mahallesi),Daire | 3+1 | 2. Kat | 135 m²,4.500 TL
Çiftlikköy - Siteler Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,27.000 TL
Çiftlikköy - Mehmet Akif Ersoy Mahallesi,Daire | 3+1 | 3. Kat | 110 m²,30.000 TL
Çınarcık - Teşvikiye Bld. (Karşıyaka Mahallesi),Daire | 2+1 | 4. Kat | 110 m²,21.000 TL
Çınarcık - Harmanlar Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,13.500 TL
Çınarcık - Taşliman Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,15.000 TL
Yalova Merkez - Bahçelievler Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,16.000 TL
Çiftlikköy - Mehmet Akif Ersoy Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,19.000 TL
Yalova Merkez - Adnan Menderes Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,20.000 TL
Yalova Merkez - Bağlarbaşı Mahallesi,Daire | 4+1 | 3. Kat | 270 m²,36.000 TL
Yalova Merkez - Bağlarbaşı Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,25.500 TL
Yalova Merkez - Dere Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 75 m²,22.500 TL
Yalova Merkez - Dere Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,17.500 TL
Yalova Merkez - İsmet Paşa Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 110 m²,23.000 TL
Yalova Merkez - Bahçelievler Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,18.500 TL
Yalova Merkez - Bahçelievler Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,25.000 TL
Yalova Merkez - Süleyman Bey Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,25.000 TL
Çiftlikköy - Sahil Mahallesi,Daire | 2+1 | 5. Kat | 85 m²,25.000 TL
Yalova Merkez - Mustafa Kemal Paşa Mahallesi,Daire | 3+1 | Bahçe katı | 167 m²,45.000 TL
Çınarcık - Çamlık Mahallesi,Daire | 2+1 | 5. Kat | 95 m²,16.000 TL
Yalova Merkez - Bağlarbaşı Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 95 m²,16.000 TL
Çiftlikköy - Mehmet Akif Ersoy Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 65 m²,21.000 TL
Çınarcık - Harmanlar Mahallesi,Daire | 1+1 | 3. Kat | 85 m²,18.000 TL
Yalova Merkez - Rüstem Paşa Mahallesi,Daire | 3+1 | 1. Kat | 110 m²,25.000 TL
Yalova Merkez - Mustafa Kemal Paşa Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,23.000 TL
Yalova Merkez - Adnan Menderes Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,25.000 TL
Yalova Merkez - Bayraktepe Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,15.000 TL
Yalova Merkez - Bayraktepe Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 65 m²,17.000 TL
Yalova Merkez - Mustafa Kemal Paşa Mahallesi,Daire | 2+1 | Bahçe katı | 100 m²,30.000 TL
Yalova Merkez - Bahçelievler Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,18.000 TL
Yalova Merkez - Adnan Menderes Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,30.000 TL
Çiftlikköy - Taşköprü Bld. (Taşköprü Merkez Mahallesi),Daire | 2+1 | 2. Kat | 95 m²,20.000 TL
Yalova Merkez - Kadıköy Bld. (Merkez Mahallesi),Daire | 1+1 | Bahçe katı | 60 m²,18.000 TL
Yalova Merkez - İsmet Paşa Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,30.000 TL
Yalova Merkez - Süleyman Bey Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,19.000 TL
Yalova Merkez - Hacımehmet Köyü,Daire | 3+1 | 2. Kat | 130 m²,22.000 TL
Yalova Merkez - Süleyman Bey Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,25.000 TL
Çınarcık - Çamlık Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,22.000 TL
Yalova Merkez - Bahçelievler Mahallesi,Daire | 4+1 | 3. Kat | 160 m²,22.000 TL
Yalova Merkez - İsmet Paşa Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,61.500 TL
Yalova Merkez - Mustafa Kemal Paşa Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,34.000 TL
Yalova Merkez - Adnan Menderes Mahallesi,Daire | 3+1 | Yüksek giriş | 120 m²,27.500 TL
Altınova - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,21.000 TL
Yalova Merkez - Fevzi Çakmak Mahallesi,Daire | 4+1 | 3. Kat | 160 m²,25.000 TL
Yalova Merkez - Fevzi Çakmak Mahallesi,Daire | 2+1 | 1. Kat | 125 m²,36.000 TL
Yalova Merkez - Bahçelievler Mahallesi,Daire | 3+1 | Yüksek giriş | 140 m²,20.000 TL
Armutlu - Bayır Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,2.000 TL2.750 TL
Yalova Merkez - Kazım Karabekir Mahallesi,Daire | 1.5+1 | Çatı katı | 150 m²,19.000 TL
Altınova - Hürriyet Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,30.000 TL
Çiftlikköy - Sahil Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,24.000 TL
Çiftlikköy - Mehmet Akif Ersoy Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,30.000 TL
Yalova Merkez - Adnan Menderes Mahallesi,Daire | 3+1 | Yüksek giriş | 140 m²,23.000 TL
Yalova Merkez - Bayraktepe Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,18.000 TL
Termal - Üvezpınar Mahallesi,Daire | 1+1 | 3. Kat | 84 m²,35.000 TL
Yalova Merkez - Fevzi Çakmak Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,24.000 TL
Yalova Merkez - Mustafa Kemal Paşa Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,20.000 TL
Yalova Merkez - Süleyman Bey Mahallesi,Daire | 3+1 | 9. Kat | 150 m²,24.000 TL
Çınarcık - Hasanbaba Mahallesi,Daire | 3+1 | 3. Kat | 155 m²,26.500 TL
Yalova Merkez - Bahçelievler Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 135 m²,25.500 TL
Yalova Merkez - Süleyman Bey Mahallesi,Daire | 3+1 | 7. Kat | 140 m²,26.000 TL
Çınarcık - Teşvikiye Bld. (Karşıyaka Mahallesi),Daire | 2+1 | Yüksek giriş | 110 m²,35.000 TL
Yalova Merkez - Bahçelievler Mahallesi,Daire | 4+1 | 2. Kat | 180 m²,42.000 TL
Yalova Merkez - Bahçelievler Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,19.000 TL
Çınarcık - Karpuzdere Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,17.000 TL
Çiftlikköy - Sahil Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,35.000 TL
Yalova Merkez - Kadıköy Bld. (Merkez Mahallesi),Daire | Stüdyo | 3. Kat | 41 m²,25.000 TL
Yalova Merkez - Mustafa Kemal Paşa Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,19.500 TL
Yalova Merkez - Bahçelievler Mahallesi,Daire | 2+1 | 2. Kat | 135 m²,27.500 TL
Çınarcık - Karpuzdere Mahallesi,Daire | 2+1 | Kot 4 (-4). Kat | 120 m²,20.000 TL
Yalova Merkez - Mustafa Kemal Paşa Mahallesi,Daire | 2+1 | Bahçe katı | 101 m²,37.000 TL
Yalova Merkez - İsmet Paşa Mahallesi,Daire | 2+1 | 4. Kat | 103 m²,25.000 TL
Yalova Merkez - Bahçelievler Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,15.000 TL
Yalova Merkez - Kadıköy Bld. (Merkez Mahallesi),Daire | 2+1 | Bahçe katı | 95 m²,24.000 TL
Çınarcık - Harmanlar Mahallesi,Daire | 1 Oda | 6. Kat | 80 m²,12.000 TL
Yalova Merkez - Kadıköy Bld. (Özden Mahallesi),Daire | 1+1 | 2. Kat | 66 m²,23.000 TL
Yalova Merkez - Bayraktepe Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 130 m²,25.000 TL
Yalova Merkez - Fevzi Çakmak Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 75 m²,16.000 TL
Yalova Merkez - Rüstem Paşa Mahallesi,Daire | 4+1 | 1. Kat | 200 m²,22.000 TL
Yalova Merkez - Süleyman Bey Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,20.000 TL
Çiftlikköy - Sahil Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,25.000 TL
Çiftlikköy - Mehmet Akif Ersoy Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,25.000 TL
Çiftlikköy - Sahil Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,30.000 TL
Çiftlikköy - Sahil Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,25.000 TL
Yalova Merkez - Gazi Osman Paşa Mahallesi,Daire | 3+1 | 1. Kat | 125 m²,35.000 TL
Yalova Merkez - Adnan Menderes Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,26.000 TL
Armutlu - Karşıyaka Mahallesi,Daire | 2+1 | 6. Kat | 100 m²,46.000 TL
Çiftlikköy - Mehmet Akif Ersoy Mahallesi,Daire | 3+1 | 5. Kat | 170 m²,30.000 TL
Çınarcık - Harmanlar Mahallesi,Daire | 2+1 | Bahçe katı | 95 m²,15.000 TL
Çınarcık - Harmanlar Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,13.000 TL
Altınova - Subaşı Bld. (Altınkent Mahallesi),Daire | 3+1 | Yüksek giriş | 95 m²,13.000 TL
Yalova Merkez - Süleyman Bey Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,18.000 TL
Çiftlikköy - Taşköprü Bld. (Taşköprü Merkez Mahallesi),Daire | 2+1 | 2. Kat | 95 m²,20.750 TL
Altınova - Subaşı Bld. (Denizgören Mahallesi),Daire | 3+1 | Yüksek giriş | 115 m²,18.000 TL
Çınarcık - Harmanlar Mahallesi,Daire | 2+1 | Bahçe katı | 100 m²,15.000 TL
Çiftlikköy - Sahil Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 85 m²,15.000 TL
Yalova Merkez - Bahçelievler Mahallesi,Daire | 3+1 | 5. Kat | 145 m²,20.000 TL
Yalova Merkez - Mustafa Kemal Paşa Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,18.000 TL
Çiftlikköy - Sahil Mahallesi,Daire | 2+0 | Yüksek giriş | 100 m²,30.000 TL
Yalova Merkez - Kadıköy Bld. (Merkez Mahallesi),Daire | 4+1 | 2. Kat | 224 m²,41.000 TL
Yalova Merkez - Bahçelievler Mahallesi,Daire | 2+1 | 5. Kat | 85 m²,21.000 TL
Yalova Merkez - Süleyman Bey Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,28.000 TL
Yalova Merkez - Kazım Karabekir Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,35.000 TL
Yalova Merkez - Gazi Osman Paşa Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,27.000 TL
Yalova Merkez - İsmet Paşa Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,20.500 TL
Yalova Merkez - Rüstem Paşa Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,25.000 TL
Yalova Merkez - Kadıköy Bld. (Özden Mahallesi),Daire | 1+1 | 2. Kat | 66 m²,23.750 TL
Yalova Merkez - Kazım Karabekir Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,35.000 TL
Yalova Merkez - Rüstem Paşa Mahallesi,Daire | 1+1 | 4. Kat | 75 m²,26.000 TL
Yalova Merkez - Fevzi Çakmak Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,21.500 TL
Yalova Merkez - Fevzi Çakmak Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,20.000 TL
Armutlu - Karşıyaka Mahallesi,Daire | 2+1 | Bahçe katı | 125 m²,16.000 TL
Çınarcık - Koru Bld. (Hürriyet Mahallesi),Daire | 2+1 | Yüksek giriş | 100 m²,20.000 TL
Yalova Merkez - Adnan Menderes Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,18.000 TL
Çınarcık - Harmanlar Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,12.000 TL
Çiftlikköy - Taşköprü Bld. (Taşköprü Merkez Mahallesi),Daire | 2+1 | 2. Kat | 70 m²,23.000 TL25.000 TL
Yalova Merkez - İsmet Paşa Mahallesi,Daire | 3+1 | Yüksek giriş | 130 m²,23.000 TL
Çınarcık - Taşliman Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,12.500 TL
Yalova Merkez - Rüstem Paşa Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,20.000 TL
Çiftlikköy - Mehmet Akif Ersoy Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,18.000 TL
Çiftlikköy - Sahil Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,19.000 TL
Armutlu - Karşıyaka Mahallesi,Daire | 3+1 | 4. Kat | 200 m²,18.000 TL20.000 TL
Yalova Merkez - Kazım Karabekir Mahallesi,Daire | 3+1 | Kot 1 (-1). Kat | 140 m²,15.000 TL
Çınarcık - Koru Bld. (Hürriyet Mahallesi),Daire | 3+1 | 2. Kat | 140 m²,16.000 TL
Yalova Merkez - Bahçelievler Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,19.000 TL
Yalova Merkez - Bahçelievler Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,20.000 TL
Çiftlikköy - Sahil Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,22.000 TL
Yalova Merkez - Bahçelievler Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,22.000 TL
Çiftlikköy - Sahil Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,25.000 TL
Çiftlikköy - Sahil Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,18.000 TL
Yalova Merkez - Bahçelievler Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,25.000 TL
Çınarcık - Taşliman Mahallesi,Daire | 1+1 | 3. Kat | 70 m²,15.000 TL
Yalova Merkez - Bahçelievler Mahallesi,Daire | 2+1 | 3. Kat | 125 m²,20.000 TL24.000 TL
Çınarcık - Taşliman Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,13.000 TL
Çiftlikköy - Sahil Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,22.000 TL
Çınarcık - Esenköy Bld. (Aliye Hanım Mahallesi),Daire | 1 Oda | Bahçe katı | 55 m²,14.000 TL
Çınarcık - Koru Bld. (Hürriyet Mahallesi),Daire | 1+1 | Villa tipi | 90 m²,18.000 TL
Çiftlikköy - Siteler Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,17.000 TL
Çınarcık - Esenköy Bld. (Aliye Hanım Mahallesi),Daire | 2+1 | 3. Kat | 90 m²,15.500 TL
Termal - Yenimahalle Köyü,Daire | 3+1 | Villa tipi | 180 m²,17.000 TL
Çiftlikköy - Sahil Mahallesi,Daire | 5+0 | Düz Giriş (Zemin) | 210 m²,20.000 TL25.000 TL
Yalova Merkez - Kadıköy Bld. (Özden Mahallesi),Daire | 2+1 | 2. Kat | 95 m²,35.000 TL
Çiftlikköy - Sahil Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,35.000 TL
Çınarcık - Taşliman Mahallesi,Daire | 4+1 | 4. Kat | 200 m²,45.000 TL
Çınarcık - Esenköy Bld. (Liman Mahallesi),Daire | 2+1 | Bahçe katı | 90 m²,11.500 TL
Yalova Merkez - Bahçelievler Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,23.000 TL25.000 TL
